Country_code_9_digit,Country_code,Country_name,Region_code_9_digit,Region_code,Region_name,LA_code_9_digit,LA_code,LA_name,Laden_girls_13,Laden_boys_13,Laden_all_13,KS4_LEVEL2_girls_13,KS4_LEVEL2_boys_13,KS4_LEVEL2_all_13,KS4_LEVEL2_EM_girls_13,KS4_LEVEL2_EM_boys_13,KS4_LEVEL2_EM_all_13,KS4_LEVEL1_girls_13,KS4_LEVEL1_boys_13,KS4_LEVEL1_all_13,KS4_LEVEL1_EM_girls_13,KS4_LEVEL1_EM_boys_13,KS4_LEVEL1_EM_all_13,KS4_L2BASICS_girls_13,KS4_L2BASICS_boys_13,KS4_L2BASICS_all_13,KS4_EBACC_E_girls_13,KS4_EBACC_E_boys_13,KS4_EBACC_E_all_13,KS4_EBACC_girls_13,KS4_EBACC_boys_13,KS4_EBACC_all_13,Laden_girls_white_13,Laden_boys_white_13,Laden_all_white_13,KS4_LEVEL2_girls_white_13,KS4_LEVEL2_boys_white_13,KS4_LEVEL2_all_white_13,KS4_LEVEL2_EM_girls_white_13,KS4_LEVEL2_EM_boys_white_13,KS4_LEVEL2_EM_all_white_13,KS4_LEVEL1_girls_white_13,KS4_LEVEL1_boys_white_13,KS4_LEVEL1_all_white_13,KS4_LEVEL1_EM_girls_white_13,KS4_LEVEL1_EM_boys_white_13,KS4_LEVEL1_EM_all_white_13,KS4_L2BASICS_girls_white_13,KS4_L2BASICS_boys_white_13,KS4_L2BASICS_all_white_13,KS4_EBACC_E_girls_white_13,KS4_EBACC_E_boys_white_13,KS4_EBACC_E_all_white_13,KS4_EBACC_girls_white_13,KS4_EBACC_boys_white_13,KS4_EBACC_all_white_13,Laden_girls_mixed_13,Laden_boys_mixed_13,Laden_all_mixed_13,KS4_LEVEL2_girls_mixed_13,KS4_LEVEL2_boys_mixed_13,KS4_LEVEL2_all_mixed_13,KS4_LEVEL2_EM_girls_mixed_13,KS4_LEVEL2_EM_boys_mixed_13,KS4_LEVEL2_EM_all_mixed_13,KS4_LEVEL1_girls_mixed_13,KS4_LEVEL1_boys_mixed_13,KS4_LEVEL1_all_mixed_13,KS4_LEVEL1_EM_girls_mixed_13,KS4_LEVEL1_EM_boys_mixed_13,KS4_LEVEL1_EM_all_mixed_13,KS4_L2BASICS_girls_mixed_13,KS4_L2BASICS_boys_mixed_13,KS4_L2BASICS_all_mixed_13,KS4_EBACC_E_girls_mixed_13,KS4_EBACC_E_boys_mixed_13,KS4_EBACC_E_all_mixed_13,KS4_EBACC_girls_mixed_13,KS4_EBACC_boys_mixed_13,KS4_EBACC_all_mixed_13,Laden_girls_asian_13,Laden_boys_asian_13,Laden_all_asian_13,KS4_LEVEL2_girls_asian_13,KS4_LEVEL2_boys_asian_13,KS4_LEVEL2_all_asian_13,KS4_LEVEL2_EM_girls_asian_13,KS4_LEVEL2_EM_boys_asian_13,KS4_LEVEL2_EM_all_asian_13,KS4_LEVEL1_girls_asian_13,KS4_LEVEL1_boys_asian_13,KS4_LEVEL1_all_asian_13,KS4_LEVEL1_EM_girls_asian_13,KS4_LEVEL1_EM_boys_asian_13,KS4_LEVEL1_EM_all_asian_13,KS4_L2BASICS_girls_asian_13,KS4_L2BASICS_boys_asian_13,KS4_L2BASICS_all_asian_13,KS4_EBACC_E_girls_asian_13,KS4_EBACC_E_boys_asian_13,KS4_EBACC_E_all_asian_13,KS4_EBACC_girls_asian_13,KS4_EBACC_boys_asian_13,KS4_EBACC_all_asian_13,Laden_girls_black_13,Laden_boys_black_13,Laden_all_black_13,KS4_LEVEL2_girls_black_13,KS4_LEVEL2_boys_black_13,KS4_LEVEL2_all_black_13,KS4_LEVEL2_EM_girls_black_13,KS4_LEVEL2_EM_boys_black_13,KS4_LEVEL2_EM_all_black_13,KS4_LEVEL1_girls_black_13,KS4_LEVEL1_boys_black_13,KS4_LEVEL1_all_black_13,KS4_LEVEL1_EM_girls_black_13,KS4_LEVEL1_EM_boys_black_13,KS4_LEVEL1_EM_all_black_13,KS4_L2BASICS_girls_black_13,KS4_L2BASICS_boys_black_13,KS4_L2BASICS_all_black_13,KS4_EBACC_E_girls_black_13,KS4_EBACC_E_boys_black_13,KS4_EBACC_E_all_black_13,KS4_EBACC_girls_black_13,KS4_EBACC_boys_black_13,KS4_EBACC_all_black_13,Laden_girls_chinese_13,Laden_boys_chinese_13,Laden_all_chinese_13,KS4_LEVEL2_girls_chinese_13,KS4_LEVEL2_boys_chinese_13,KS4_LEVEL2_all_chinese_13,KS4_LEVEL2_EM_girls_chinese_13,KS4_LEVEL2_EM_boys_chinese_13,KS4_LEVEL2_EM_all_chinese_13,KS4_LEVEL1_girls_chinese_13,KS4_LEVEL1_boys_chinese_13,KS4_LEVEL1_all_chinese_13,KS4_LEVEL1_EM_girls_chinese_13,KS4_LEVEL1_EM_boys_chinese_13,KS4_LEVEL1_EM_all_chinese_13,KS4_L2BASICS_girls_chinese_13,KS4_L2BASICS_boys_chinese_13,KS4_L2BASICS_all_chinese_13,KS4_EBACC_E_girls_chinese_13,KS4_EBACC_E_boys_chinese_13,KS4_EBACC_E_all_chinese_13,KS4_EBACC_girls_chinese_13,KS4_EBACC_boys_chinese_13,KS4_EBACC_all_chinese_13,Laden_girls_English_13,Laden_boys_English_13,Laden_all_English_13,KS4_LEVEL2_girls_English_13,KS4_LEVEL2_boys_English_13,KS4_LEVEL2_all_English_13,KS4_LEVEL2_EM_girls_English_13,KS4_LEVEL2_EM_boys_English_13,KS4_LEVEL2_EM_all_English_13,KS4_LEVEL1_girls_English_13,KS4_LEVEL1_boys_English_13,KS4_LEVEL1_all_English_13,KS4_LEVEL1_EM_girls_English_13,KS4_LEVEL1_EM_boys_English_13,KS4_LEVEL1_EM_all_English_13,KS4_L2BASICS_girls_English_13,KS4_L2BASICS_boys_English_13,KS4_L2BASICS_all_English_13,KS4_EBACC_E_girls_English_13,KS4_EBACC_E_boys_English_13,KS4_EBACC_E_all_English_13,KS4_EBACC_girls_English_13,KS4_EBACC_boys_English_13,KS4_EBACC_all_English_13,Laden_girls_otherthanEnglish_13,Laden_boys_otherthanEnglish_13,Laden_all_otherthanEnglish_13,KS4_LEVEL2_girls_otherthanEnglish_13,KS4_LEVEL2_boys_otherthanEnglish_13,KS4_LEVEL2_all_otherthanEnglish_13,KS4_LEVEL2_EM_girls_otherthanEnglish_13,KS4_LEVEL2_EM_boys_otherthanEnglish_13,KS4_LEVEL2_EM_all_otherthanEnglish_13,KS4_LEVEL1_girls_otherthanEnglish_13,KS4_LEVEL1_boys_otherthanEnglish_13,KS4_LEVEL1_all_otherthanEnglish_13,KS4_LEVEL1_EM_girls_otherthanEnglish_13,KS4_LEVEL1_EM_boys_otherthanEnglish_13,KS4_LEVEL1_EM_all_otherthanEnglish_13,KS4_L2BASICS_girls_otherthanEnglish_13,KS4_L2BASICS_boys_otherthanEnglish_13,KS4_L2BASICS_all_otherthanEnglish_13,KS4_EBACC_E_girls_otherthanEnglish_13,KS4_EBACC_E_boys_otherthanEnglish_13,KS4_EBACC_E_all_otherthanEnglish_13,KS4_EBACC_girls_otherthanEnglish_13,KS4_EBACC_boys_otherthanEnglish_13,KS4_EBACC_all_otherthanEnglish_13
E92000001,921,England,,,,,,,279321,289800,569121,241990,231141,473131,184198,161882,346080,271006,275262,546268,266892,270051,536943,185798,164458,350256,111008,91504,202512,77009,53129,130138,225257,234325,459582,194247,185544,379791,147641,129699,277340,218127,222033,440160,214895,217909,432804,148987,131785,280772,87324,72705,160029,60354,41818,102172,10817,10734,21551,9453,8618,18071,7290,6223,13513,10495,10190,20685,10337,9993,20330,7353,6331,13684,4414,3601,8015,3118,2129,5247,22636,23621,46257,20326,19891,40217,15820,14200,30020,22242,22870,45112,21903,22420,44323,15893,14392,30285,10608,8402,19010,7714,5275,12989,13677,13500,27177,11847,10807,22654,8743,7200,15943,13395,12888,26283,13155,12601,25756,8827,7326,16153,5441,3813,9254,3452,1937,5389,1087,1113,2200,1046,1025,2071,914,849,1763,1081,1082,2163,1071,1070,2141,917,850,1767,653,599,1252,574,469,1043,244136,253675,497811,211158,201481,412639,161346,141895,303241,236675,240551,477226,233294,236166,469460,162813,144177,306990,95985,79309,175294,66471,45774,112245,34793,35738,70531,30512,29369,59881,22605,19777,42382,33962,34362,68324,33238,33543,66781,22734,20068,42802,14874,12086,26960,10435,7291,17726
E92000001,921,England,E12000001,A,North East,,,,14171,14623,28794,12811,12498,25309,9084,8002,17086,13703,13784,27487,13472,13516,26988,9132,8055,17187,5328,4156,9484,3500,2180,5680,13394,13850,27244,12103,11803,23906,8575,7551,16126,12947,13035,25982,12728,12781,25509,8622,7601,16223,5023,3934,8957,3272,2048,5320,173,148,321,159,132,291,134,94,228,170,143,313,168,138,306,134,95,229,83,49,132,65,32,97,368,377,745,340,338,678,238,214,452,359,368,727,355,363,718,238,216,454,131,100,231,99,58,157,70,69,139,65,65,130,44,40,84,x,x,x,x,x,134,44,40,84,28,17,45,22,5,27,29,42,71,x,x,67,22,30,52,x,x,x,x,x,68,22,30,52,17,19,36,16,16,32,13653,14067,27720,12341,11989,24330,8767,7699,16466,13199,13241,26440,12981,12985,25966,8814,7750,16564,5149,4008,9157,3360,2081,5441,505,544,1049,460,500,960,310,296,606,491,533,1024,479,521,1000,311,298,609,173,144,317,136,97,233
E92000001,921,England,E12000002,B,North West,,,,39332,40913,80245,34233,32734,66967,25770,22303,48073,38028,38816,76844,37468,38104,75572,25988,22685,48673,15691,12779,28470,10879,7275,18154,34243,35479,69722,29847,28338,58185,22437,19420,41857,33089,33609,66698,32637,33016,65653,22620,19749,42369,13485,11098,24583,9296,6313,15609,971,1072,2043,832,870,1702,625,584,1209,932,1012,1944,919,995,1914,635,591,1226,384,338,722,258,193,451,2748,2899,5647,2365,2293,4658,1852,1533,3385,2690,2797,5487,2639,2734,5373,1868,1573,3441,1265,902,2167,921,512,1433,683,709,1392,587,600,1187,419,352,771,660,672,1332,636,658,1294,424,354,778,265,164,429,181,91,272,152,151,303,146,140,286,121,108,229,x,x,298,149,146,295,121,108,229,92,80,172,77,61,138,35868,37344,73212,31275,29896,61171,23591,20568,44159,34661,35393,70054,34181,34781,68962,23788,20908,44696,14255,11737,25992,9847,6701,16548,3410,3519,6929,2920,2808,5728,2149,1715,3864,3317,3380,6697,3238,3282,6520,2168,1757,3925,1422,1030,2452,1020,569,1589
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,28540,29721,58261,25254,24065,49319,18428,16251,34679,27749,28259,56008,27250,27691,54941,18541,16474,35015,10074,8096,18170,6932,4661,11593,24306,25321,49627,21501,20491,41992,15885,14006,29891,23609,24064,47673,23218,23612,46830,15990,14186,30176,8632,7039,15671,5959,4065,10024,785,734,1519,684,595,1279,489,417,906,762,688,1450,745,673,1418,493,426,919,275,208,483,188,123,311,2550,2700,5250,2284,2219,4503,1513,1365,2878,2501,2589,5090,2440,2510,4950,1517,1387,2904,868,622,1490,576,339,915,484,510,994,422,392,814,288,221,509,476,481,957,463,471,934,288,226,514,142,99,241,92,41,133,79,74,153,76,64,140,68,51,119,79,69,148,79,68,147,68,52,120,47,31,78,41,26,67,25754,26890,52644,22855,21826,44681,16899,14936,31835,25074,25590,50664,24678,25126,49804,17010,15134,32144,9240,7506,16746,6380,4338,10718,2753,2804,5557,2373,2219,4592,1508,1299,2807,2644,2643,5287,2541,2539,5080,1510,1322,2832,822,581,1403,542,318,860
E92000001,921,England,E12000004,E,East Midlands,,,,24627,25559,50186,21287,20250,41537,16005,13742,29747,23891,24194,48085,23558,23786,47344,16153,13945,30098,9413,7597,17010,6342,4160,10502,21128,21961,43089,18171,17384,35555,13712,11769,25481,20485,20788,41273,20211,20443,40654,13846,11951,25797,7963,6456,14419,5354,3504,8858,900,853,1753,798,658,1456,583,435,1018,861,782,1643,850,764,1614,587,440,1027,308,214,522,211,113,324,1652,1718,3370,1486,1414,2900,1138,1028,2166,1624,1653,3277,1597,1632,3229,1144,1037,2181,788,643,1431,557,401,958,556,597,1153,482,470,952,315,290,605,544,574,1118,529,559,1088,318,293,611,193,145,338,111,51,162,77,93,170,x,x,161,62,70,132,77,90,167,x,x,166,62,70,132,48,58,106,38,44,82,22495,23334,45829,19414,18497,37911,14696,12638,27334,21824,22076,43900,21559,21722,43281,14837,12832,27669,8545,6908,15453,5761,3766,9527,2096,2201,4297,1843,1735,3578,1283,1089,2372,2035,2096,4131,1967,2042,4009,1290,1098,2388,851,677,1528,572,385,957
E92000001,921,England,E12000005,F,West Midlands,,,,31344,33086,64430,27771,27364,55135,20419,18182,38601,30486,31543,62029,29998,30817,60815,20545,18364,38909,11272,9083,20355,7641,5034,12675,24072,25228,49300,21160,20626,41786,15655,13868,29523,23357,23971,47328,22990,23476,46466,15763,14010,29773,8576,6993,15569,5788,3852,9640,1355,1384,2739,1189,1158,2347,839,750,1589,1310,1316,2626,1288,1278,2566,844,756,1600,441,379,820,283,196,479,4057,4375,8432,3744,3800,7544,2770,2514,5284,3992,4244,8236,3929,4108,8037,2779,2539,5318,1614,1185,2799,1157,707,1864,1301,1365,2666,1182,1164,2346,813,659,1472,1283,1312,2595,1264,1277,2541,816,664,1480,425,293,718,261,130,391,65,103,168,x,x,157,53,78,131,x,103,x,x,x,164,53,78,131,29,61,90,25,46,71,26926,28404,55330,23785,23354,47139,17660,15699,33359,26168,27024,53192,25772,26449,52221,17776,15854,33630,9676,7867,17543,6547,4329,10876,4383,4642,9025,3953,3977,7930,2737,2460,5197,4283,4481,8764,4192,4330,8522,2747,2487,5234,1580,1203,2783,1083,697,1780
E92000001,921,England,E12000006,G,East,,,,31769,33186,64955,26428,25247,51675,20667,18170,38837,30728,31491,62219,30331,30919,61250,20925,18543,39468,12581,11145,23726,8586,6309,14895,27717,29038,56755,22897,21862,44759,17875,15723,33598,26768,27503,54271,26419,26988,53407,18105,16059,34164,10770,9586,20356,7325,5390,12715,1153,1283,2436,984,998,1982,780,751,1531,1118,1234,2352,1106,1215,2321,788,767,1555,488,473,961,343,276,619,1413,1418,2831,1248,1233,2481,978,876,1854,1384,1370,2754,1365,1355,2720,988,878,1866,663,607,1270,471,371,842,859,811,1670,763,662,1425,591,457,1048,847,783,1630,838,773,1611,594,463,1057,374,234,608,235,125,360,137,113,250,129,100,229,114,85,199,137,109,246,x,x,245,116,85,201,80,53,133,68,41,109,29164,30685,59849,24228,23245,47473,19074,16868,35942,28197,29100,57297,27856,28585,56441,19314,17225,36539,11569,10256,21825,7905,5790,13695,2536,2425,4961,2144,1946,4090,1547,1266,2813,2467,2320,4787,2414,2266,4680,1564,1282,2846,984,873,1857,661,511,1172
E92000001,921,England,E12000007,H,London,,,,38006,38268,76274,33165,31229,64394,26245,23377,49622,37028,36521,73549,36451,35934,72385,26480,23777,50257,17821,14693,32514,12686,9143,21829,16542,16982,33524,14291,13813,28104,11209,10284,21493,15994,16087,32081,15742,15816,31558,11330,10447,21777,7309,6478,13787,5371,4133,9504,3094,2950,6044,2719,2373,5092,2173,1832,4005,3019,2800,5819,2972,2764,5736,2191,1863,4054,1445,1110,2555,1032,684,1716,7084,7219,14303,6379,6112,12491,5368,4835,10203,6966,7012,13978,6883,6933,13816,5391,4917,10308,4042,3306,7348,2955,2176,5131,8551,8247,16798,7321,6498,13819,5534,4554,10088,8366,7849,16215,8225,7677,15902,5597,4657,10254,3607,2550,6157,2268,1321,3589,291,267,558,282,249,531,260,218,478,288,258,546,285,258,543,260,218,478,189,151,340,176,119,295,23404,23398,46802,20307,18926,39233,16109,14261,30370,22718,22178,44896,22387,21807,44194,16283,14511,30794,10550,8648,19198,7617,5397,13014,14536,14789,29325,12804,12233,25037,10093,9067,19160,14247,14266,28513,14004,14050,28054,10154,9217,19371,7250,6021,13271,5055,3729,8784
E92000001,921,England,,,Inner London,,,,12362,12002,24364,10543,9622,20165,8258,7119,15377,12015,11364,23379,11811,11190,23001,8355,7266,15621,5474,4267,9741,3714,2570,6284,3693,3644,7337,3039,2827,5866,2420,2147,4567,3528,3390,6918,3457,3330,6787,2455,2191,4646,1615,1400,3015,1181,953,2134,1125,1114,2239,973,884,1857,764,684,1448,1100,1046,2146,1086,1039,2125,775,699,1474,511,380,891,343,231,574,2516,2445,4961,2197,1991,4188,1785,1514,3299,2468,2365,4833,2425,2332,4757,1795,1544,3339,1290,994,2284,869,575,1444,3953,3732,7685,3372,3007,6379,2537,2091,4628,3861,3534,7395,3801,3467,7268,2573,2137,4710,1552,1075,2627,964,541,1505,98,83,181,94,75,169,87,65,152,x,x,174,95,78,173,87,65,152,57,36,93,49,28,77,5976,5959,11935,4967,4635,9602,3892,3440,7332,5756,5558,11314,5663,5477,11140,3955,3523,7478,2481,1995,4476,1689,1217,2906,6364,6003,12367,5559,4952,10511,4351,3656,8007,6238,5767,12005,6129,5674,11803,4385,3720,8105,2991,2260,5251,2024,1345,3369
E92000001,921,England,,,Outer London,,,,25644,26266,51910,22622,21607,44229,17987,16258,34245,25013,25157,50170,24640,24744,49384,18125,16511,34636,12347,10426,22773,8972,6573,15545,12849,13338,26187,11252,10986,22238,8789,8137,16926,12466,12697,25163,12285,12486,24771,8875,8256,17131,5694,5078,10772,4190,3180,7370,1969,1836,3805,1746,1489,3235,1409,1148,2557,1919,1754,3673,1886,1725,3611,1416,1164,2580,934,730,1664,689,453,1142,4568,4774,9342,4182,4121,8303,3583,3321,6904,4498,4647,9145,4458,4601,9059,3596,3373,6969,2752,2312,5064,2086,1601,3687,4598,4515,9113,3949,3491,7440,2997,2463,5460,4505,4315,8820,4424,4210,8634,3024,2520,5544,2055,1475,3530,1304,780,2084,193,184,377,188,174,362,173,153,326,x,x,372,190,180,370,173,153,326,132,115,247,127,91,218,17428,17439,34867,15340,14291,29631,12217,10821,23038,16962,16620,33582,16724,16330,33054,12328,10988,23316,8069,6653,14722,5928,4180,10108,8172,8786,16958,7245,7281,14526,5742,5411,11153,8009,8499,16508,7875,8376,16251,5769,5497,11266,4259,3761,8020,3031,2384,5415
