Country_code_9_digit,Country_code,Country_name,Characteristic,Characteristic_category,NATden_girls_13,NATden_boys_13,NATden_all_13,KS4_LEVEL2_girls_13,KS4_LEVEL2_boys_13,KS4_LEVEL2_all_13,KS4_LEVEL2_EM_girls_13,KS4_LEVEL2_EM_boys_13,KS4_LEVEL2_EM_all_13,KS4_LEVEL1_girls_13,KS4_LEVEL1_boys_13,KS4_LEVEL1_all_13,KS4_LEVEL1_EM_girls_13,KS4_LEVEL1_EM_boys_13,KS4_LEVEL1_EM_all_13,KS4_L2BASICS_girls_13,KS4_L2BASICS_boys_13,KS4_L2BASICS_all_13,KS4_LEVEL2MFL_girls_13,KS4_LEVEL2MFL_boys_13,KS4_LEVEL2MFL_all_13,KS4_GLEVEL2EM_girls_13,KS4_GLEVEL2EM_boys_13,KS4_GLEVEL2EM_all_13,KS4_EBACC_E_girls_13,KS4_EBACC_E_boys_13,KS4_EBACC_E_all_13,KS4_EBACC_girls_13,KS4_EBACC_boys_13,KS4_EBACC_all_13,NATden_PROGENG_girls_13,NATden_PROGENG_boys_13,NATden_PROGENG_all_13,KS4_PROGENG_girls_13,KS4_PROGENG_boys_13,KS4_PROGENG_all_13,NATden_PROGMAT_girls_13,NATden_PROGMAT_boys_13,NATden_PROGMAT_all_13,KS4_PROGMAT_girls_13,KS4_PROGMAT_boys_13,KS4_PROGMAT_all_13,NATden_girls_FSM_13,NATden_boys_FSM_13,NATden_all_FSM_13,KS4_LEVEL2_girls_FSM_13,KS4_LEVEL2_boys_FSM_13,KS4_LEVEL2_all_FSM_13,KS4_LEVEL2_EM_girls_FSM_13,KS4_LEVEL2_EM_boys_FSM_13,KS4_LEVEL2_EM_all_FSM_13,KS4_LEVEL1_girls_FSM_13,KS4_LEVEL1_boys_FSM_13,KS4_LEVEL1_all_FSM_13,KS4_LEVEL1_EM_girls_FSM_13,KS4_LEVEL1_EM_boys_FSM_13,KS4_LEVEL1_EM_all_FSM_13,KS4_L2BASICS_girls_FSM_13,KS4_L2BASICS_boys_FSM_13,KS4_L2BASICS_all_FSM_13,KS4_EBACC_E_girls_FSM_13,KS4_EBACC_E_boys_FSM_13,KS4_EBACC_E_all_FSM_13,KS4_EBACC_girls_FSM_13,KS4_EBACC_boys_FSM_13,KS4_EBACC_all_FSM_13,NATden_PROGENG_girls_FSM_13,NATden_PROGENG_boys_FSM_13,NATden_PROGENG_all_FSM_13,KS4_PROGENG_girls_FSM_13,KS4_PROGENG_boys_FSM_13,KS4_PROGENG_all_FSM_13,NATden_PROGMAT_girls_FSM_13,NATden_PROGMAT_boys_FSM_13,NATden_PROGMAT_all_FSM_13,KS4_PROGMAT_girls_FSM_13,KS4_PROGMAT_boys_FSM_13,KS4_PROGMAT_all_FSM_13,NATden_girls_allother_13,NATden_boys_allother_13,NATden_all_allother_13,KS4_LEVEL2_girls_allother_13,KS4_LEVEL2_boys_allother_13,KS4_LEVEL2_all_allother_13,KS4_LEVEL2_EM_girls_allother_13,KS4_LEVEL2_EM_boys_allother_13,KS4_LEVEL2_EM_all_allother_13,KS4_LEVEL1_girls_allother_13,KS4_LEVEL1_boys_allother_13,KS4_LEVEL1_all_allother_13,KS4_LEVEL1_EM_girls_allother_13,KS4_LEVEL1_EM_boys_allother_13,KS4_LEVEL1_EM_all_allother_13,KS4_L2BASICS_girls_allother_13,KS4_L2BASICS_boys_allother_13,KS4_L2BASICS_all_allother_13,KS4_EBACC_E_girls_allother_13,KS4_EBACC_E_boys_allother_13,KS4_EBACC_E_all_allother_13,KS4_EBACC_girls_allother_13,KS4_EBACC_boys_allother_13,KS4_EBACC_all_allother_13,NATden_PROGENG_girls_allother_13,NATden_PROGENG_boys_allother_13,NATden_PROGENG_all_allother_13,KS4_PROGENG_girls_allother_13,KS4_PROGENG_boys_allother_13,KS4_PROGENG_all_allother_13,NATden_PROGMAT_girls_allother_13,NATden_PROGMAT_boys_allother_13,NATden_PROGMAT_all_allother_13,KS4_PROGMAT_girls_allother_13,KS4_PROGMAT_boys_allother_13,KS4_PROGMAT_all_allother_13
E92000001,921,England,,,280326,291008,571334,242342,231507,473849,184209,161896,346105,271622,275968,547590,267399,270602,538001,185816,164479,350295,115356,80316,195672,166816,139434,306250,111039,91533,202572,77010,53133,130143,272859,281024,553883,209145,180645,389790,273036,282937,555973,199601,193650,393251,41852,43330,85182,31008,28051,59059,17781,14503,32284,38471,37661,76132,36966,36037,73003,18068,14916,32984,8877,6650,15527,4738,2770,7508,40245,41315,81560,24569,19794,44363,40339,41615,81954,21651,20525,42176,238474,247678,486152,211334,203456,414790,166428,147393,313821,233151,238307,471458,230433,234565,464998,167748,149563,317311,102162,84883,187045,72272,50363,122635,232614,239709,472323,184576,160851,345427,232697,241322,474019,177950,173125,351075
E92000001,921,England,ETHNICGROUP_MAJOR,White,225777,234813,460590,194415,185686,380101,147647,129704,277351,218438,222302,440740,215142,218115,433257,148996,131793,280789,88658,61405,150063,133022,111511,244533,87337,72721,160058,60355,41820,102175,221792,229382,451174,167460,144167,311627,221609,230273,451882,159231,154466,313697,28636,29790,58426,20190,18010,38200,10632,8445,19077,25823,25138,50961,24674,23910,48584,10851,8724,19575,4709,3582,8291,2259,1288,3547,27961,28882,56843,15320,11948,27268,27997,29002,56999,13181,12420,25601,197141,205023,402164,174225,167676,341901,137015,121259,258274,192615,197164,389779,190468,194205,384673,138145,123069,261214,82628,69139,151767,58096,40532,98628,193831,200500,394331,152140,132219,284359,193612,201271,394883,146050,142046,288096
E92000001,921,England,ETHNICGROUP_MINOR,White British,214875,223594,438469,185458,177104,362562,141191,124043,265234,208185,211943,420128,205212,208108,413320,142478,126038,268516,82174,55933,138107,127078,106531,233609,83052,68945,151997,57240,39437,96677,212955,220422,433377,160538,137998,298536,212542,220928,433470,152395,147688,300083,26923,27977,54900,18976,16857,35833,9907,7804,17711,24340,23612,47952,23280,22465,45745,10115,8068,18183,4252,3239,7491,1971,1130,3101,26484,27319,53803,14395,11072,25467,26461,27408,53869,12300,11551,23851,187952,195617,383569,166482,160247,326729,131284,116239,247523,183845,188331,372176,181932,185643,367575,132363,117970,250333,78800,65706,144506,55269,38307,93576,186471,193103,379574,146143,126926,273069,186081,193520,379601,140095,136137,276232
E92000001,921,England,ETHNICGROUP_MINOR,Irish,881,1018,1899,768,827,1595,648,659,1307,859,967,1826,850,958,1808,657,668,1325,458,356,814,614,597,1211,470,428,898,362,285,647,856,981,1837,695,699,1394,850,982,1832,678,729,1407,120,168,288,82,104,186,46,65,111,109,142,251,104,140,244,48,68,116,23,26,49,12,11,23,116,155,271,68,82,150,115,157,272,60,88,148,761,850,1611,686,723,1409,602,594,1196,750,825,1575,746,818,1564,609,600,1209,447,402,849,350,274,624,740,826,1566,627,617,1244,735,825,1560,618,641,1259
E92000001,921,England,ETHNICGROUP_MINOR,Traveller of Irish Heritage,68,69,137,34,20,54,15,9,24,48,40,88,43,35,78,15,11,26,x,x,8,11,7,18,5,3,8,x,x,3,66,69,135,25,18,43,66,68,134,20,16,36,43,42,85,17,11,28,6,5,11,27,23,50,24,20,44,6,5,11,x,x,4,x,x,x,41,42,83,13,9,22,42,41,83,9,9,18,25,27,52,17,9,26,9,4,13,21,17,38,19,15,34,9,6,15,x,x,4,x,x,x,25,27,52,12,9,21,24,27,51,11,7,18
E92000001,921,England,ETHNICGROUP_MINOR,Gypsy / Roma,432,388,820,195,148,343,68,45,113,294,242,536,231,204,435,69,46,115,x,x,44,44,28,72,27,16,43,x,x,16,357,308,665,111,79,190,391,323,714,95,62,157,201,191,392,76,63,139,17,19,36,121,108,229,88,86,174,17,19,36,x,x,11,x,x,x,168,154,322,33,36,69,186,161,347,27,27,54,231,197,428,119,85,204,51,26,77,173,134,307,143,118,261,52,27,79,x,x,32,x,x,x,189,154,343,78,43,121,205,162,367,68,35,103
E92000001,921,England,ETHNICGROUP_MINOR,Any Other White Background,9521,9744,19265,7960,7587,15547,5725,4948,10673,9052,9110,18162,8806,8810,17616,5777,5030,10807,5991,5099,11090,5275,4348,9623,3783,3329,7112,2740,2092,4832,7558,7602,15160,6091,5373,11464,7760,7972,15732,6043,5971,12014,1349,1412,2761,1039,975,2014,656,552,1208,1226,1253,2479,1178,1199,2377,665,564,1229,425,311,736,272,145,417,1152,1212,2364,811,749,1560,1193,1235,2428,785,745,1530,8172,8332,16504,6921,6612,13533,5069,4396,9465,7826,7857,15683,7628,7611,15239,5112,4466,9578,3358,3018,6376,2468,1947,4415,6406,6390,12796,5280,4624,9904,6567,6737,13304,5258,5226,10484
E92000001,921,England,ETHNICGROUP_MAJOR,Mixed,10841,10770,21611,9465,8629,18094,7291,6223,13514,10513,10218,20731,10355,10016,20371,7355,6332,13687,4771,3339,8110,6682,5405,12087,4416,3604,8020,3118,2129,5247,10554,10349,20903,8296,6939,15235,10507,10420,20927,7668,7153,14821,2270,2290,4560,1749,1585,3334,1095,905,2000,2118,2049,4167,2045,1979,4024,1114,925,2039,553,403,956,306,179,485,2200,2198,4398,1468,1213,2681,2183,2201,4384,1244,1145,2389,8571,8480,17051,7716,7044,14760,6196,5318,11514,8395,8169,16564,8310,8037,16347,6241,5407,11648,3863,3201,7064,2812,1950,4762,8354,8151,16505,6828,5726,12554,8324,8219,16543,6424,6008,12432
E92000001,921,England,ETHNICGROUP_MINOR,White and Black Caribbean,3742,3591,7333,3142,2755,5897,2244,1783,4027,3597,3375,6972,3526,3283,6809,2266,1822,4088,1195,704,1899,1974,1444,3418,1193,864,2057,746,416,1162,3700,3541,7241,2695,2152,4847,3688,3536,7224,2426,2116,4542,913,915,1828,661,620,1281,369,317,686,841,816,1657,804,777,1581,380,325,705,158,110,268,83,47,130,900,901,1801,560,470,1030,897,899,1796,436,414,850,2829,2676,5505,2481,2135,4616,1875,1466,3341,2756,2559,5315,2722,2506,5228,1886,1497,3383,1035,754,1789,663,369,1032,2800,2640,5440,2135,1682,3817,2791,2637,5428,1990,1702,3692
E92000001,921,England,ETHNICGROUP_MINOR,White and Black African,1173,1158,2331,1042,926,1968,808,668,1476,1141,1101,2242,1131,1083,2214,817,679,1496,566,416,982,749,571,1320,505,409,914,344,247,591,1118,1093,2211,915,754,1669,1105,1093,2198,827,762,1589,288,249,537,236,175,411,151,110,261,271,225,496,267,220,487,154,112,266,83,51,134,47,25,72,269,234,503,197,133,330,265,233,498,161,130,291,885,909,1794,806,751,1557,657,558,1215,870,876,1746,864,863,1727,663,567,1230,422,358,780,297,222,519,849,859,1708,718,621,1339,840,860,1700,666,632,1298
