Country_code_9_digit,Country_code,Country_name,PCON_CODE,PCON_NAME,Cden_13,KS4_LEVEL2_13,KS4_LEVEL2_EM_13,KS4_LEVEL1_13,KS4_LEVEL1_EM_13,KS4_L2BASICS_13,KS4_EBACC_E_13,KS4_EBACC_13
E92000001,921,England,E14000530,Aldershot,744,503,316,703,683,317,245,116
E92000001,921,England,E14000531,Aldridge-Brownhills,1270,1168,838,1242,1222,847,316,197
E92000001,921,England,E14000532,Altrincham and Sale West,1481,1348,1152,1462,1454,1158,852,670
E92000001,921,England,E14000533,Amber Valley,1026,867,569,977,964,577,226,120
E92000001,921,England,E14000534,Arundel and South Downs,1100,943,740,1062,1043,752,373,260
E92000001,921,England,E14000535,Ashfield,1112,966,629,1069,1056,632,444,234
E92000001,921,England,E14000536,Ashford,1274,1073,753,1227,1202,758,502,329
E92000001,921,England,E14000537,Ashton-under-Lyne,1178,963,592,1089,1057,594,349,219
E92000001,921,England,E14000538,Aylesbury,1258,1044,850,1208,1189,858,504,423
E92000001,921,England,E14000539,Banbury,1114,865,619,1066,1041,628,299,174
E92000001,921,England,E14000540,Barking,1058,914,661,1008,988,670,236,152
E92000001,921,England,E14000541,Barnsley Central,1066,823,547,1008,985,553,224,123
E92000001,921,England,E14000542,Barnsley East,988,748,453,944,921,461,176,81
E92000001,921,England,E14000543,Barrow and Furness,1010,725,528,948,925,533,169,120
E92000001,921,England,E14000544,Basildon and Billericay,832,726,502,806,789,505,323,192
E92000001,921,England,E14000545,Basingstoke,1272,919,664,1196,1171,673,313,206
E92000001,921,England,E14000546,Bassetlaw,981,925,652,954,926,654,260,178
E92000001,921,England,E14000547,Bath,999,780,654,949,942,661,482,328
E92000001,921,England,E14000548,Batley and Spen,1071,956,710,1057,1050,716,383,281
E92000001,921,England,E14000549,Battersea,121,89,61,118,114,63,55,13
E92000001,921,England,E14000550,Beaconsfield,1014,851,735,980,974,745,455,360
E92000001,921,England,E14000551,Beckenham,1238,1125,939,1212,1193,946,547,398
E92000001,921,England,E14000552,Bedford,962,762,495,912,898,503,204,89
E92000001,921,England,E14000553,Bermondsey and Old Southwark,1226,1042,787,1174,1154,819,509,292
E92000001,921,England,E14000554,Berwick-upon-Tweed,595,519,327,551,550,330,172,86
E92000001,921,England,E14000555,Bethnal Green and Bow,1540,1344,1038,1509,1480,1043,595,363
E92000001,921,England,E14000556,Beverley and Holderness,1229,994,766,1203,1191,773,477,280
E92000001,921,England,E14000557,Bexhill and Battle,1136,947,741,1098,1078,751,436,293
E92000001,921,England,E14000558,Bexleyheath and Crayford,1392,1299,1012,1379,1352,1012,550,462
