"Characteristic_category","NATden_girls_13","NATden_boys_13","KS4_LEVEL2_girls_13","KS4_LEVEL2_boys_13","KS4_LEVEL2_EM_girls_13","KS4_LEVEL2_EM_boys_13","KS4_LEVEL1_girls_13","KS4_LEVEL1_boys_13","KS4_LEVEL1_EM_girls_13","KS4_LEVEL1_EM_boys_13","KS4_L2BASICS_girls_13","KS4_L2BASICS_boys_13","KS4_LEVEL2MFL_girls_13","KS4_LEVEL2MFL_boys_13","KS4_GLEVEL2EM_girls_13","KS4_GLEVEL2EM_boys_13","KS4_EBACC_E_girls_13","KS4_EBACC_E_boys_13","KS4_EBACC_girls_13","KS4_EBACC_boys_13","NATden_PROGENG_girls_13","NATden_PROGENG_boys_13","KS4_PROGENG_girls_13","KS4_PROGENG_boys_13","NATden_PROGMAT_girls_13","NATden_PROGMAT_boys_13","KS4_PROGMAT_girls_13","KS4_PROGMAT_boys_13","NATden_girls_FSM_13","NATden_boys_FSM_13","KS4_LEVEL2_girls_FSM_13","KS4_LEVEL2_boys_FSM_13","KS4_LEVEL2_EM_girls_FSM_13","KS4_LEVEL2_EM_boys_FSM_13","KS4_LEVEL1_girls_FSM_13","KS4_LEVEL1_boys_FSM_13","KS4_LEVEL1_EM_girls_FSM_13","KS4_LEVEL1_EM_boys_FSM_13","KS4_L2BASICS_girls_FSM_13","KS4_L2BASICS_boys_FSM_13","KS4_EBACC_E_girls_FSM_13","KS4_EBACC_E_boys_FSM_13","KS4_EBACC_girls_FSM_13","KS4_EBACC_boys_FSM_13","NATden_PROGENG_girls_FSM_13","NATden_PROGENG_boys_FSM_13","KS4_PROGENG_girls_FSM_13","KS4_PROGENG_boys_FSM_13","NATden_PROGMAT_girls_FSM_13","NATden_PROGMAT_boys_FSM_13","KS4_PROGMAT_girls_FSM_13","KS4_PROGMAT_boys_FSM_13","NATden_girls_allother_13","NATden_boys_allother_13","KS4_LEVEL2_girls_allother_13","KS4_LEVEL2_boys_allother_13","KS4_LEVEL2_EM_girls_allother_13","KS4_LEVEL2_EM_boys_allother_13","KS4_LEVEL1_girls_allother_13","KS4_LEVEL1_boys_allother_13","KS4_LEVEL1_EM_girls_allother_13","KS4_LEVEL1_EM_boys_allother_13","KS4_L2BASICS_girls_allother_13","KS4_L2BASICS_boys_allother_13","KS4_EBACC_E_girls_allother_13","KS4_EBACC_E_boys_allother_13","KS4_EBACC_girls_allother_13","KS4_EBACC_boys_allother_13","NATden_PROGENG_girls_allother_13","NATden_PROGENG_boys_allother_13","KS4_PROGENG_girls_allother_13","KS4_PROGENG_boys_allother_13","NATden_PROGMAT_girls_allother_13","NATden_PROGMAT_boys_allother_13","KS4_PROGMAT_girls_allother_13","KS4_PROGMAT_boys_allother_13"
"White - White British",214875,223594,185458,177104,141191,124043,208185,211943,205212,208108,142478,126038,"82174","55933",127078,106531,83052,68945,"57240","39437",212955,220422,160538,137998,212542,220928,152395,147688,"26923","27977","18976","16857","9907","7804","24340","23612","23280","22465","10115","8068","4252","3239","1971","1130","26484","27319","14395","11072","26461","27408","12300","11551","187952","195617","166482","160247","131284","116239","183845","188331","181932","185643","132363","117970","78800","65706","55269","38307","186471","193103","146143","126926","186081","193520","140095","136137"
"White - Irish",881,1018,768,827,648,659,859,967,850,958,657,668,"458","356",614,597,470,428,"362","285",856,981,695,699,850,982,678,729,"120","168","82","104","46","65","109","142","104","140","48","68","23","26","12","11","116","155","68","82","115","157","60","88","761","850","686","723","602","594","750","825","746","818","609","600","447","402","350","274","740","826","627","617","735","825","618","641"
"White - Traveller of Irish Heritage",68,69,34,20,15,9,48,40,43,35,15,11,"x","x",11,7,5,3,"x","x",66,69,25,18,66,68,20,16,"43","42","17","11","6","5","27","23","24","20","6","5","x","x","x","x","41","42","13","9","42","41","9","9","25","27","17","9","9","4","21","17","19","15","9","6","x","x","x","x","25","27","12","9","24","27","11","7"
"White - Gypsy / Roma",432,388,195,148,68,45,294,242,231,204,69,46,"x","x",44,28,27,16,"x","x",357,308,111,79,391,323,95,62,"201","191","76","63","17","19","121","108","88","86","17","19","x","x","x","x","168","154","33","36","186","161","27","27","231","197","119","85","51","26","173","134","143","118","52","27","x","x","x","x","189","154","78","43","205","162","68","35"
"White - Any Other White Background",9521,9744,7960,7587,5725,4948,9052,9110,8806,8810,5777,5030,"5991","5099",5275,4348,3783,3329,"2740","2092",7558,7602,6091,5373,7760,7972,6043,5971,"1349","1412","1039","975","656","552","1226","1253","1178","1199","665","564","425","311","272","145","1152","1212","811","749","1193","1235","785","745","8172","8332","6921","6612","5069","4396","7826","7857","7628","7611","5112","4466","3358","3018","2468","1947","6406","6390","5280","4624","6567","6737","5258","5226"
"Mixed - White and Black Caribbean",3742,3591,3142,2755,2244,1783,3597,3375,3526,3283,2266,1822,"1195","704",1974,1444,1193,864,"746","416",3700,3541,2695,2152,3688,3536,2426,2116,"913","915","661","620","369","317","841","816","804","777","380","325","158","110","83","47","900","901","560","470","897","899","436","414","2829","2676","2481","2135","1875","1466","2756","2559","2722","2506","1886","1497","1035","754","663","369","2800","2640","2135","1682","2791","2637","1990","1702"
"Mixed - White and Black African",1173,1158,1042,926,808,668,1141,1101,1131,1083,817,679,"566","416",749,571,505,409,"344","247",1118,1093,915,754,1105,1093,827,762,"288","249","236","175","151","110","271","225","267","220","154","112","83","51","47","25","269","234","197","133","265","233","161","130","885","909","806","751","657","558","870","876","864","863","663","567","422","358","297","222","849","859","718","621","840","860","666","632"
"Mixed - White and Asian",2171,2263,1957,1916,1609,1480,2118,2178,2094,2140,1621,1501,"1116","865",1512,1367,1043,925,"808","630",2121,2189,1751,1570,2123,2203,1675,1657,"343","362","271","265","198","140","322","328","314","316","199","142","104","58","64","28","338","350","235","193","333","351","215","181","1828","1901","1686","1651","1411","1340","1796","1850","1780","1824","1422","1359","939","867","744","602","1783","1839","1516","1377","1790","1852","1460","1476"
"Mixed - Any Other Mixed Background",3755,3758,3324,3032,2630,2292,3657,3564,3604,3510,2651,2330,"1894","1354",2447,2023,1675,1406,"1220","836",3615,3526,2935,2463,3591,3588,2740,2618,"726","764","581","525","377","338","684","680","660","666","381","346","208","184","112","79","693","713","476","417","688","718","432","420","3029","2994","2743","2507","2253","1954","2973","2884","2944","2844","2270","1984","1467","1222","1108","757","2922","2813","2459","2046","2903","2870","2308","2198"
"Asian - Indian",6598,6945,6179,6150,5356,4893,6528,6802,6470,6709,5375,4938,"4110","3106",5114,4522,3820,3115,"2986","2192",6389,6647,5664,5208,6410,6742,5729,5801,"625","683","560","553","417","387","612","644","606","631","418","389","255","215","167","113","602","660","491","454","600","662","476","499","5973","6262","5619","5597","4939","4506","5916","6158","5864","6078","4957","4549","3565","2900","2819","2079","5787","5987","5173","4754","5810","6080","5253","5302"
