"Characteristic_category","NATden_girls_13","NATden_boys_13","KS4_LEVEL2_girls_13","KS4_LEVEL2_boys_13","KS4_LEVEL2_EM_girls_13","KS4_LEVEL2_EM_boys_13","KS4_LEVEL1_girls_13","KS4_LEVEL1_boys_13","KS4_LEVEL1_EM_girls_13","KS4_LEVEL1_EM_boys_13","KS4_L2BASICS_girls_13","KS4_L2BASICS_boys_13","KS4_LEVEL2MFL_girls_13","KS4_LEVEL2MFL_boys_13","KS4_GLEVEL2EM_girls_13","KS4_GLEVEL2EM_boys_13","KS4_EBACC_E_girls_13","KS4_EBACC_E_boys_13","KS4_EBACC_girls_13","KS4_EBACC_boys_13","NATden_PROGENG_girls_13","NATden_PROGENG_boys_13","KS4_PROGENG_girls_13","KS4_PROGENG_boys_13","NATden_PROGMAT_girls_13","NATden_PROGMAT_boys_13","KS4_PROGMAT_girls_13","KS4_PROGMAT_boys_13","NATden_girls_FSM_13","NATden_boys_FSM_13","KS4_LEVEL2_girls_FSM_13","KS4_LEVEL2_boys_FSM_13","KS4_LEVEL2_EM_girls_FSM_13","KS4_LEVEL2_EM_boys_FSM_13","KS4_LEVEL1_girls_FSM_13","KS4_LEVEL1_boys_FSM_13","KS4_LEVEL1_EM_girls_FSM_13","KS4_LEVEL1_EM_boys_FSM_13","KS4_L2BASICS_girls_FSM_13","KS4_L2BASICS_boys_FSM_13","KS4_EBACC_E_girls_FSM_13","KS4_EBACC_E_boys_FSM_13","KS4_EBACC_girls_FSM_13","KS4_EBACC_boys_FSM_13","NATden_PROGENG_girls_FSM_13","NATden_PROGENG_boys_FSM_13","KS4_PROGENG_girls_FSM_13","KS4_PROGENG_boys_FSM_13","NATden_PROGMAT_girls_FSM_13","NATden_PROGMAT_boys_FSM_13","KS4_PROGMAT_girls_FSM_13","KS4_PROGMAT_boys_FSM_13","NATden_girls_allother_13","NATden_boys_allother_13","KS4_LEVEL2_girls_allother_13","KS4_LEVEL2_boys_allother_13","KS4_LEVEL2_EM_girls_allother_13","KS4_LEVEL2_EM_boys_allother_13","KS4_LEVEL1_girls_allother_13","KS4_LEVEL1_boys_allother_13","KS4_LEVEL1_EM_girls_allother_13","KS4_LEVEL1_EM_boys_allother_13","KS4_L2BASICS_girls_allother_13","KS4_L2BASICS_boys_allother_13","KS4_EBACC_E_girls_allother_13","KS4_EBACC_E_boys_allother_13","KS4_EBACC_girls_allother_13","KS4_EBACC_boys_allother_13","NATden_PROGENG_girls_allother_13","NATden_PROGENG_boys_allother_13","KS4_PROGENG_girls_allother_13","KS4_PROGENG_boys_allother_13","NATden_PROGMAT_girls_allother_13","NATden_PROGMAT_boys_allother_13","KS4_PROGMAT_girls_allother_13","KS4_PROGMAT_boys_allother_13"
"Specific Learning Difficulty",2199,4758,1384,2715,"440","859",2019,4289,1841,4014,"446","881","181","263","354","653","177","278","66","88",2087,4519,1211,2248,2104,4601,"827","1972",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Moderate Learning Difficulty",4368,7271,1804,2738,"234","354",3043,4847,2440,4120,"242","366","162","212","153","211","103","130","32","25",4152,6881,1380,1913,4198,6961,"693","1372",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Severe Learning Difficulty",832,1469,34,74,"3","13",77,146,39,99,"3","13","3","7","3","10","4","4","x","x",819,1450,31,61,822,1457,"12","37",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Profound & Multiple Learning Difficulty",222,303,3,15,"x","x",7,21,3,15,"x","x","x","x","x","x","x","x","x","x",221,301,4,9,221,302,"x","x",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Behaviour, Emotional & Social Difficulties",5686,11094,2912,4403,"1434","1653",4387,7794,4058,7087,"1504","1758","693","575","1106","1079","658","620","313","190",5560,10710,2229,2966,5550,10742,"1886","3068",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Speech, Language and Communications Needs",1186,2719,562,1386,"143","397",969,2229,814,1999,"144","407","120","203","113","299","64","166","29","65",1106,2563,480,1052,1101,2586,"314","1000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hearing Impairment",753,634,570,449,"348","244",693,581,654,544,"349","249","189","99","300","197","161","112","107","53",733,613,479,336,726,610,"470","374",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visual Impairment",320,395,241,275,"162","160",296,354,283,339,"164","162","93","73","144","134","76","83","50","41",307,383,215,219,310,386,"195","243",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multi-Sensory Impairment",26,30,16,17,"x","x",18,19,16,19,"x","x","x","x","x","x","x","x","x","x",25,27,11,6,26,28,"x","x",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Disability",883,1162,535,684,"320","358",710,937,659,874,"326","364","179","166","283","292","164","166","98","88",859,1118,475,541,860,1121,"425","540",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
